location,L,k,a,R2,Population,km2,Air_Pm2.5,Male_population,Over_65,Foreign_turism,health_exp_usd,Day_inf_detected
Ch-Heilongjiang,481.7557287715565,0.2736162341882863,15.746947408028419,0.9987722152759458,38310000.0,454800.0,41.35113,15697000.0,3780000.0,1040000.0,656.8103573,2
Ch-Beijing,422.9422801700556,0.19807391465170623,12.371807331203126,0.9899681646121241,21540000.0,16808.0,82.85876999999999,8781000.0,1989000.0,3400000.0,998.4,1
Czechia,876.6745985683998,0.3574095544201787,55.65065782620231,0.9981638144945582,10625695.0,78865.0,16.21481,5226929.0,2063603.0,10611000.0,2484.6335289999997,40
Qatar,433.36728556906456,0.8373960543346951,49.52291951181272,0.981051904912262,2781677.0,11571.0,89.72286,2100297.0,38111.0,1819300.0,3926.121037,39
Portugal,599.6314643731747,0.5432710728996698,53.58989438670115,0.9930785971945457,10281762.0,92212.0,8.12088,4862044.0,2257243.0,16186000.0,2778.415587,41
Israel,3427.5722695035456,0.21729950644536986,65.05138500694247,0.995702745973507,8883800.0,22145.0,20.8113,4415415.0,1064011.0,4121000.0,2843.044007,31
Greece,619.0852869802271,0.32843208747923963,53.499788775408824,0.988626238484528,10727668.0,131957.0,16.47663,5265547.0,2323106.0,30123000.0,2261.15653,36
Brazil,1054.6634080418662,0.33400571057635414,57.78190584547546,0.9824131053293926,209469333.0,8511000.0,12.82884,102996245.0,18690609.0,6621000.0,1777.4704769999998,36
Ch-Shanghai,340.38421119905854,0.26701756798319426,10.74674597540096,0.995660308241848,24240000.0,6340.0,54.22928,10256000.0,2972000.0,6020000.0,652.9900223999999,1
Finland,356.9877797885322,0.613080187034443,51.61474581482925,0.9916346441752233,5518050.0,338440.0,5.90603,2719253.0,1198564.0,3224000.0,4112.054234,8
Ch-Hebei,318.76044986731375,0.22796175305005942,14.913295621707544,0.9967585122847739,74700000.0,187700.0,82.85876999999999,31210000.0,7854000.0,750000.0,811.4908337999999,1
Singapore,3239.4040808979903,0.05485506566388669,99.99999999999999,0.9632388043325053,5638676.0,721.5,19.72147,2951389.0,646383.0,14673000.0,4083.751681,2
Pakistan,386.75832960414994,0.9448592768438151,54.63370954013897,0.9895536684759467,212215030.0,881913.0,60.31661999999999,109209940.0,9152355.0,,144.12382409999998,36
Ch-Fujian,294.91244627253735,0.2598667979608201,10.726099749286641,0.9959264399039037,38560000.0,121400.0,28.8534,16806000.0,3065000.0,2180000.0,621.2496461000001,1
Ireland,1530.7718589314468,0.28848451439850814,61.06299742228242,0.9930858503500373,4853506.0,84421.0,8.27177,2406101.0,672978.0,10926000.0,5299.653967,39
Slovenia,292.821222340829,0.6433495440562981,51.214852367685026,0.9993915953716497,2067372.0,20273.0,16.25411,1028617.0,405347.0,4425000.0,2772.229776,44
Romania,542.4225341381399,0.3230636555339861,56.5551915016864,0.9900072703932128,19473936.0,238397.0,14.6146,9475288.0,3571267.0,11720000.0,1152.175449,36
Estonia,262.05717385539583,0.8019377369230601,52.30698813413366,0.9944011418350136,1320884.0,45336.0,6.841989999999999,622685.0,259241.0,3234000.0,1987.718156,37
Bahrain,316.4793904768184,0.20732481244989182,49.430952123697175,0.97775028191165,1569439.0,765.3,69.88265,998975.0,38080.0,12045000.0,1866.29732,34
Mexico,208.0056322107529,0.43246139683677165,56.33903797938539,0.9823519357525616,126190788.0,1973000.0,21.23615,61720822.0,9115625.0,41313000.0,971.8231599,38
