,Ch-Hubei,Italy,Iran,Spain,Germany,France,"Korea, South",US,Switzerland,United Kingdom,Netherlands,Austria,Norway,Belgium,Ch-Guangdong,Sweden,Ch-Henan,Ch-Zhejiang,Denmark,Ch-Hunan,Ch-Anhui,Ch-Jiangxi,Japan,Malaysia,Ch-Shandong,Cruise Ship,Canada,Ch-Jiangsu,Ch-Chongqing,Australia,Ch-Sichuan,Ch-Heilongjiang,Ch-Beijing,Czechia,Qatar,Portugal,Israel,Greece,Brazil,Ch-Shanghai,Finland,Ch-Hebei,Singapore,Pakistan,Ch-Fujian,Ireland,Slovenia,Romania,Estonia,Bahrain,Ch-Guangxi,Poland,Iceland,Ch-Shaanxi,Chile,Indonesia,Thailand,Luxembourg,Philippines,Egypt,Ch-Hong Kong,Ch-Yunnan,Saudi Arabia,Ch-Hainan,Iraq,India,Russia,Ch-Guizhou,Peru,Kuwait,Ch-Tianjin,Ch-Gansu,Lebanon,Ch-Shanxi,Ch-Liaoning,San Marino,South Africa,United Arab Emirates,Ecuador,Slovakia,Taiwan*,Turkey,Colombia,Ch-Jilin,Mexico,Bulgaria,Panama,Armenia,Serbia,Croatia,Argentina,Ch-Xinjiang,Vietnam,Ch-Inner Mongolia,Ch-Ningxia,Algeria,Latvia,Brunei,Albania,Hungary,Jordan,Sri Lanka,Belarus,Costa Rica,Uruguay,Cyprus,Morocco,Oman,Andorra,Bosnia and Herzegovina,Malta,Georgia,Venezuela,Kazakhstan,North Macedonia,Cambodia,Senegal,Moldova,Tunisia,Liechtenstein,Azerbaijan,Lithuania,Afghanistan,Dominican Republic,Burkina Faso,New Zealand,Martinique,Ch-Qinghai,Uzbekistan,Ch-Macau,Bangladesh,Ukraine,Maldives,Jamaica,Bolivia,Paraguay,Cameroon,Honduras,Nigeria,Rwanda,Trinidad and Tobago,Cuba,Guyana,Ghana,Monaco,Ethiopia,Cote d'Ivoire,Mongolia,Guatemala,Equatorial Guinea,Seychelles,Congo (Kinshasa),Kenya,Tanzania,Kyrgyzstan,Mauritius,Sudan,Zambia,Saint Lucia,Namibia,Barbados,Benin,Liberia,Kosovo,Saint Vincent and the Grenadines,Gabon,Antigua and Barbuda,Bhutan,Central African Republic,Ch-Tibet,Congo (Brazzaville),Djibouti,Eswatini,Togo,"Gambia, The",Somalia,The Bahamas,Greenland,Guinea,Mauritania,Suriname,Montenegro,Nepal,Holy See
2/29/20,66337,1128,593,45,79,100,3150,68,18,23,6,9,15,1,1349,12,1272,1205,3,1018,990,935,241,25,756,705,20,631,576,25,538,480,411,0,1,0,7,4,2,337,3,318,102,4,296,1,0,3,1,41,252,0,1,245,0,0,42,1,3,1,95,174,0,168,13,3,2,146,0,45,136,91,4,133,121,1,0,21,0,0,39,0,0,93,4,0,0,0,0,6,0,76,16,75,73,1,0,0,0,0,0,1,1,0,0,0,0,6,0,0,0,1,0,0,1,1,0,0,0,0,0,1,1,0,0,1,0,18,0,10,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
3/1/20,66907,1694,978,84,130,130,3736,74,27,36,10,14,19,2,1349,14,1272,1205,4,1018,990,935,256,29,758,705,24,631,576,27,538,480,413,3,3,0,10,7,2,337,6,318,106,4,296,1,0,3,1,47,252,0,3,245,0,0,42,1,3,2,96,174,0,168,19,3,2,146,0,45,136,91,10,133,122,1,0,21,6,0,40,0,0,93,5,0,0,1,0,7,0,76,16,75,73,1,0,0,0,0,0,1,1,0,0,0,0,6,0,0,0,3,0,0,1,1,0,0,0,0,3,1,1,1,0,1,0,18,0,10,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
3/2/20,67103,2036,1501,120,159,191,4335,98,42,40,18,18,25,8,1350,15,1272,1206,4,1018,990,935,274,29,758,705,27,631,576,30,538,480,414,3,3,2,10,7,2,337,6,318,108,4,296,1,0,3,1,49,252,0,6,245,0,2,43,1,3,2,100,174,1,168,26,5,3,146,0,56,136,91,13,133,122,8,0,21,6,0,41,0,0,93,5,0,0,1,0,7,0,76,16,75,74,3,1,0,0,0,0,1,1,0,0,0,1,6,1,0,0,3,0,0,1,1,1,0,0,0,3,1,1,1,0,1,0,18,0,10,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
3/3/20,67217,2502,2336,165,196,204,5186,118,56,51,24,21,32,13,1350,21,1272,1213,6,1018,990,935,293,36,758,706,30,631,576,39,538,480,414,5,7,2,12,7,2,338,6,318,110,5,296,2,0,3,2,49,252,0,11,245,1,2,43,1,3,2,100,174,1,168,32,5,3,146,0,56,136,91,13,133,125,10,0,27,7,0,42,0,0,93,5,0,0,1,0,9,1,76,16,75,74,5,1,0,0,0,1,1,1,0,0,0,1,12,1,0,0,3,0,0,1,1,2,0,0,0,3,1,1,1,0,1,0,18,0,10,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
3/4/20,67332,3089,2922,222,262,288,5621,149,90,86,38,29,56,23,1350,35,1272,1213,11,1018,990,935,331,50,758,706,33,631,576,52,538,480,418,8,8,5,15,9,4,338,6,318,110,5,296,6,0,4,2,52,252,1,26,245,1,2,43,1,3,2,105,174,1,168,35,28,3,146,0,56,136,91,13,133,125,16,0,27,10,0,42,0,0,93,5,0,0,1,0,10,1,76,16,75,75,12,1,0,0,2,1,1,6,0,0,0,1,15,1,0,0,3,0,0,1,1,4,0,1,1,3,1,1,1,0,3,0,18,0,10,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
3/5/20,67466,3858,3513,259,482,380,6088,217,114,116,82,41,87,50,1351,94,1272,1215,11,1018,990,935,360,50,758,706,37,631,576,55,539,481,418,12,8,8,20,31,4,339,12,318,117,5,296,6,2,6,3,55,252,1,34,245,4,2,47,1,3,3,105,174,5,168,35,30,4,146,0,58,136,102,16,133,125,21,1,29,13,0,44,0,0,93,5,0,0,1,0,10,1,76,16,75,75,12,1,0,0,2,1,1,6,0,0,0,2,16,1,2,0,4,0,0,1,1,4,0,1,1,6,1,1,1,0,3,0,18,0,10,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
3/6/20,67592,4636,4747,400,670,656,6593,262,214,164,128,55,108,109,1352,101,1272,1215,24,1018,990,935,420,83,758,696,49,631,576,60,539,481,422,18,8,13,37,45,13,342,15,318,130,6,296,18,7,9,10,60,252,5,43,245,4,4,48,2,5,15,107,174,5,168,40,31,13,146,1,58,136,119,22,133,125,21,1,29,13,1,45,0,1,93,6,0,0,1,1,11,2,76,16,75,75,17,1,0,0,2,1,1,6,1,0,0,2,16,1,2,0,4,0,0,3,1,4,0,1,1,6,1,1,2,0,4,0,18,0,10,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1
3/7/20,67666,5883,5823,500,799,957,7041,402,268,207,188,79,147,169,1352,161,1272,1215,24,1018,990,935,461,93,758,696,54,631,576,63,539,481,426,19,8,20,43,46,13,342,15,318,138,6,296,18,7,9,10,85,252,5,50,245,4,4,50,2,6,15,108,174,5,168,54,34,13,146,1,61,136,120,22,133,125,23,1,45,13,1,45,0,1,93,6,0,0,1,1,12,8,76,18,75,75,17,1,0,0,4,1,1,6,1,0,0,2,16,1,3,3,4,0,0,3,1,4,0,1,1,9,1,1,2,0,5,2,18,0,10,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1
3/8/20,67707,7375,6566,673,1040,1134,7314,518,337,274,265,104,176,200,1352,203,1272,1215,37,1018,990,935,502,99,758,696,64,631,576,76,539,481,428,31,15,30,61,73,20,342,23,318,150,6,296,19,16,15,10,85,252,11,50,245,8,6,50,3,10,49,114,174,11,168,60,39,17,146,6,64,136,124,32,133,125,36,3,45,14,3,45,0,1,93,7,4,0,1,1,12,12,76,30,75,75,19,2,0,0,7,1,1,6,5,0,0,2,16,1,3,3,13,0,0,3,2,4,1,2,1,9,1,4,5,0,5,2,18,0,10,3,1,4,0,0,1,2,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1
3/9/20,67743,9172,7161,1073,1176,1217,7478,583,374,322,321,131,205,239,1352,248,1272,1215,92,1018,990,935,511,117,758,696,77,631,576,91,539,481,428,31,18,30,61,73,25,342,30,318,150,6,296,21,16,15,10,95,252,16,58,245,8,19,50,3,20,55,115,174,15,168,60,43,17,146,7,64,136,124,32,133,125,36,3,45,15,3,45,0,1,93,7,4,0,1,1,12,12,76,30,75,75,20,6,1,2,9,1,1,6,9,0,2,2,16,1,3,3,15,0,0,3,2,4,1,2,1,9,1,4,5,0,5,2,18,0,10,3,1,4,0,0,1,2,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1
3/10/20,67760,10149,8042,1695,1457,1792,7513,959,491,384,382,182,400,267,1353,355,1272,1215,264,1018,990,935,581,129,758,696,79,631,576,107,539,481,429,41,24,41,83,89,31,344,40,318,160,16,296,34,31,25,12,110,252,22,69,245,13,27,53,5,33,59,120,174,20,168,71,56,20,146,11,69,136,125,41,133,125,51,7,74,15,7,47,0,3,93,7,4,1,1,5,14,17,76,31,75,75,20,8,1,10,9,1,1,9,9,0,3,3,18,1,5,5,15,0,0,7,2,4,3,5,1,11,1,5,5,1,5,2,18,0,10,3,1,6,0,0,1,2,0,2,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1
3/11/20,67773,12462,9000,2277,1908,2290,7755,1281,652,459,503,246,598,314,1356,500,1273,1215,444,1018,990,935,639,149,760,696,108,631,576,128,539,482,435,91,262,59,109,99,38,344,59,318,178,19,296,43,57,45,16,195,252,31,85,245,23,34,59,7,49,60,126,174,21,168,71,62,20,146,11,72,136,127,61,133,125,62,13,74,17,10,48,1,9,93,8,7,8,1,12,19,19,76,38,75,75,20,10,11,12,13,1,2,9,13,0,6,5,18,1,7,6,24,0,0,7,3,4,3,7,1,11,3,7,5,2,5,3,18,0,10,3,1,8,1,2,5,2,2,2,0,0,0,0,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1
3/12/20,67781,12462,10075,2277,2078,2290,7869,1663,652,459,503,302,702,314,1356,599,1273,1215,617,1018,990,935,639,149,760,696,117,631,576,128,539,482,435,94,262,59,131,99,52,344,59,318,178,20,296,43,89,49,16,195,252,49,103,245,23,34,70,19,52,67,129,174,45,168,71,73,28,146,15,80,136,127,61,133,125,69,17,85,17,16,49,1,9,93,12,7,11,4,19,19,19,76,39,75,75,24,10,11,23,13,1,2,12,22,0,6,6,18,1,11,6,24,0,0,7,3,4,3,7,1,11,3,7,5,2,5,3,18,0,10,3,1,8,2,2,5,2,2,2,0,0,3,1,0,2,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1
3/13/20,67786,17660,11364,5232,3675,3678,7979,2179,1139,802,806,504,996,559,1356,814,1273,1215,804,1018,990,935,701,197,760,696,193,631,576,200,539,482,436,141,320,112,161,190,151,346,155,318,200,28,296,90,141,89,79,189,252,68,134,245,43,69,75,34,64,80,134,174,86,168,101,82,45,146,28,80,136,127,77,133,125,80,24,85,17,32,50,5,13,93,12,23,27,8,35,32,31,76,47,75,75,26,17,37,33,19,1,6,27,23,0,14,7,19,1,13,12,25,0,4,14,5,10,6,16,1,15,6,7,5,2,5,3,18,0,10,3,3,9,8,3,6,2,2,2,0,0,4,1,0,2,1,1,1,0,0,0,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,1
3/14/20,67790,21157,12729,6391,4585,4487,8086,2727,1359,1144,962,655,1090,689,1356,961,1273,1227,836,1018,990,935,773,238,760,696,198,631,576,250,539,482,437,189,337,169,193,228,151,353,225,318,212,31,296,129,181,123,115,210,252,103,156,245,61,96,82,51,111,109,140,174,103,168,110,102,59,146,38,104,136,129,93,133,125,80,38,85,28,44,53,5,22,93,26,41,36,18,46,38,34,76,53,75,75,37,26,40,38,30,1,10,27,26,4,26,17,19,1,18,18,30,2,6,14,7,10,12,18,4,15,8,11,11,2,6,9,18,0,10,3,3,10,8,10,6,2,2,2,1,2,4,1,3,2,1,1,1,1,0,2,2,1,0,0,0,1,0,1,2,0,0,0,0,1,1,1,1,0,1,0,0,1,1,0,0,0,0,1,1,1,0,1,1
3/15/20,67794,24747,13938,7798,5795,4523,8162,3499,2200,1145,1138,860,1221,886,1360,1022,1273,1231,875,1018,990,935,839,428,760,696,252,631,576,297,539,482,442,253,401,245,251,331,162,353,244,318,226,53,296,129,219,131,171,214,252,119,171,245,74,117,114,59,140,110,145,174,103,168,116,113,63,146,43,112,136,133,110,133,125,101,51,98,28,54,59,6,34,93,41,51,43,26,48,49,45,76,56,75,75,48,30,50,42,32,8,18,27,27,4,26,28,22,1,24,21,33,10,9,14,7,24,23,18,4,23,12,16,11,3,8,9,18,1,10,5,3,13,10,10,6,2,3,2,1,2,4,4,6,2,1,1,1,1,1,2,2,3,0,0,0,1,0,2,2,0,0,0,2,1,1,1,1,1,1,1,0,1,1,0,0,0,0,1,1,1,0,1,1
3/16/20,67798,27980,14991,9942,7272,6668,8236,4632,2200,1551,1416,1018,1333,1058,1361,1103,1273,1231,932,1018,990,935,825,566,760,696,415,631,576,377,539,482,452,298,439,331,255,331,200,355,277,318,243,136,296,169,253,158,205,214,252,177,180,245,155,134,147,77,142,150,155,176,118,168,124,119,90,146,86,123,136,133,99,133,125,109,62,98,37,63,67,18,54,93,53,52,55,52,55,57,56,76,61,75,75,54,34,54,51,39,17,28,36,35,8,33,29,22,2,25,30,33,17,10,18,7,24,23,20,4,15,17,21,11,15,8,15,18,6,11,8,7,13,10,11,8,4,6,2,5,4,4,4,6,7,5,1,1,2,1,3,2,3,1,0,0,1,0,2,2,0,1,1,2,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,0,1,1
3/17/20,67799,31506,16169,11748,9257,7699,8320,6421,2700,1960,1711,1332,1463,1243,1364,1190,1273,1232,1024,1018,990,935,878,673,761,696,478,631,576,452,540,482,456,396,439,448,337,387,321,358,321,318,266,236,296,223,275,184,225,228,253,238,220,246,201,172,177,140,187,196,162,176,171,168,154,142,114,147,117,130,136,133,120,133,125,109,62,98,58,72,77,47,65,93,82,67,69,78,65,65,68,76,66,75,75,60,49,56,55,50,34,44,36,41,29,46,38,24,39,26,38,34,33,33,26,33,26,30,24,7,28,25,22,21,15,12,16,18,10,12,10,14,13,12,11,9,10,8,3,7,5,5,7,7,7,5,5,5,6,1,4,3,3,1,0,0,1,0,2,2,2,1,1,2,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,2,1,1
3/18/20,67800,35713,17361,13910,12327,9105,8413,7783,3028,2642,2058,1646,1550,1486,1370,1279,1273,1232,1115,1018,990,935,889,790,761,712,657,631,576,568,540,482,469,464,452,448,433,418,372,361,336,318,313,299,296,292,275,260,258,256,253,251,250,246,238,227,212,203,202,196,181,176,171,168,164,156,147,146,145,142,136,133,133,133,125,119,116,113,111,105,100,98,93,93,93,92,86,84,83,81,79,76,75,75,75,74,71,68,59,58,52,51,51,50,50,49,49,39,39,38,38,38,36,35,35,35,31,30,29,28,28,27,22,21,20,20,19,18,15,15,14,14,13,13,12,11,10,9,8,8,7,7,7,7,7,6,6,6,6,4,4,4,3,3,3,3,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
