"Data Source","World Development Indicators",

"Last Updated Date","2020-02-27",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019",
"Azerbaijan","AZE","Population ages 65 and above, total","SP.POP.65UP.TO","209728","213365","218048","223460","229167","234950","241730","248965","256284","263033","268897","275028","279292","282476","285757","289717","295207","301353","307181","311072","312289","314099","313610","311870","310288","309724","311864","314375","318315","325267","332265","345469","361404","378615","394579","408326","422801","435053","446348","458068","470835","491712","513064","532309","546102","552678","554430","550162","547161","542722","534050","533749","534181","536444","542462","553537","569419","590226","615946","",
"Burundi","BDI","Population ages 65 and above, total","SP.POP.65UP.TO","82128","84423","86487","88380","90199","91976","94782","97544","100088","102187","103736","107816","111412","114710","117911","121099","123087","125085","127047","128875","130433","133082","135466","137496","139143","140438","143037","145336","147299","148834","149878","151923","153194","153642","153268","152134","154849","156842","158205","159042","159362","161410","163374","165166","166630","167641","171761","175984","180141","183981","187468","191511","195194","199308","204994","212939","223950","236761","251104","",
"Belgium","BEL","Population ages 65 and above, total","SP.POP.65UP.TO","1086878","1104082","1122246","1144592","1169183","1193354","1220249","1245060","1266569","1284567","1297673","1318383","1337300","1351928","1364950","1376738","1395158","1412507","1425885","1430449","1424173","1417155","1398551","1376154","1360100","1356466","1371757","1397817","1432671","1466699","1494260","1525771","1552481","1575186","1595483","1614690","1639761","1664882","1688391","1709963","1729026","1749584","1769109","1785372","1798968","1811864","1826377","1837725","1848809","1864031","1888644","1924385","1954045","1984942","2015071","2045400","2081793","2113968","2146063","",
"Benin","BEN","Population ages 65 and above, total","SP.POP.65UP.TO","122101","122909","123214","123013","122341","121221","124635","127777","130649","133226","135503","138994","142206","145116","147683","149880","152987","155714","158120","160239","162100","164771","167206","169377","171255","172840","175873","178689","181375","184023","186704","190377","194143","197949","201716","205418","209207","212768","216242","219820","223645","228806","234015","239460","245385","251923","260803","270072","279457","288533","297126","306226","314861","323348","332090","341362","351768","362518","373678","",
"Burkina Faso","BFA","Population ages 65 and above, total","SP.POP.65UP.TO","112601","117133","121236","124933","128272","131303","136947","142254","147169","151650","155697","162080","168076","173678","178868","183632","191136","198141","204699","210887","216755","225252","233680","241917","249793","257209","264811","271873","278352","284160","289258","294660","299155","302842","305754","307953","311807","314859","317280","319258","320945","326145","330967","335522","339971","344384","352985","361488","369784","377679","385123","395809","406148","416228","426159","436081","449328","462295","475416","",
"Bangladesh","BGD","Population ages 65 and above, total","SP.POP.65UP.TO","1293053","1332406","1370290","1406720","1442161","1477662","1545666","1612060","1674119","1729538","1778213","1856671","1928011","1996189","2065675","2139721","2212281","2282039","2347180","2406462","2459809","2533040","2598813","2656744","2707084","2750989","2852574","2953038","3051717","3148077","3242586","3374674","3504236","3632573","3761070","3891607","4089368","4289355","4493331","4703182","4920068","5137215","5350694","5561582","5772162","5983904","6220332","6447200","6661340","6859810","7042041","7263514","7476572","7673178","7840717","7974314","8112772","8222197","8323375","",
"Bulgaria","BGR","Population ages 65 and above, total","SP.POP.65UP.TO","595963","611876","629268","648203","668844","690577","713662","737269","762365","789163","816575","843538","869298","895089","922107","947582","975139","1004167","1026589","1041759","1049963","1048747","1037306","1022284","1013722","1015069","1037687","1071143","1109594","1133355","1146109","1172228","1194209","1217233","1244603","1269847","1295044","1316568","1333761","1347306","1355812","1349941","1335685","1335392","1332857","1328891","1328713","1327263","1326476","1329454","1337026","1352979","1374543","1398483","1420363","1436950","1456167","1468797","1476625","",
"Bahrain","BHR","Population ages 65 and above, total","SP.POP.65UP.TO","4859","4756","4561","4265","3858","3346","3594","3893","4263","4727","5313","5464","5669","5910","6160","6413","6591","6760","6936","7153","7427","8254","9048","9793","10458","11051","10976","10902","10838","10803","10823","11464","12087","12643","13111","13533","14135","14725","15243","15744","16304","16666","17213","17953","18863","19920","20880","22054","23330","24586","25807","27389","28623","29633","30661","31885","33399","35444","38080","",
"Bahamas, The","BHS","Population ages 65 and above, total","SP.POP.65UP.TO","4152","4260","4374","4518","4678","4838","4999","5162","5348","5536","5730","6016","6250","6459","6682","6919","7223","7574","7962","8337","8663","8973","9195","9375","9554","9745","9932","10158","10402","10668","10939","11336","11733","12137","12550","12994","13538","14102","14702","15348","16048","16633","17217","17770","18280","18780","19366","19960","20559","21145","21700","22342","22970","23618","24300","25042","25983","26954","27988","",
"Bosnia and Herzegovina","BIH","Population ages 65 and above, total","SP.POP.65UP.TO","111050","116294","122272","128706","135166","141422","147564","153122","158340","163594","169188","178411","187517","196149","203937","210662","218902","226753","233737","239000","242162","242870","241540","239494","238549","239751","247200","257050","268759","281332","293911","307950","319974","330569","341135","353009","361282","371087","382742","396399","411706","432080","454933","477694","496419","508934","518111","520597","518985","517177","517270","513079","508937","504215","499495","496591","510596","527857","547462","",
"Belarus","BLR","Population ages 65 and above, total","SP.POP.65UP.TO","684346","686231","688409","691805","697609","706469","725188","746812","770180","793405","815051","841985","865973","888758","912328","937070","961443","988387","1013918","1030715","1036684","1034783","1023078","1007525","996385","994320","1003166","1018573","1036211","1059583","1087347","1122578","1164551","1207812","1242490","1266996","1294274","1310142","1319525","1330512","1345147","1370047","1396164","1418420","1428959","1422996","1413833","1393167","1366377","1342329","1325279","1322070","1325351","1334043","1345662","1359180","1369717","1384384","1408120","",
"Belize","BLZ","Population ages 65 and above, total","SP.POP.65UP.TO","3819","3958","4097","4241","4376","4509","4672","4824","4971","5107","5245","5432","5596","5758","5916","6080","6188","6289","6375","6439","6474","6583","6679","6755","6830","6898","7032","7181","7359","7544","7746","8013","8300","8624","8984","9368","9389","9426","9490","9574","9664","9768","9840","9877","9890","9866","10395","10970","11602","12324","13153","13633","14147","14692","15290","15942","16617","17345","18144","",
"Bermuda","BMU","Population ages 65 and above, total","SP.POP.65UP.TO","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Bolivia","BOL","Population ages 65 and above, total","SP.POP.65UP.TO","165769","166680","167042","167017","166782","166455","168571","170598","172573","174530","176509","180681","184805","188926","193118","197427","203807","210325","216787","222925","228596","236827","245024","253390","262165","271494","280134","288937","298144","308066","318870","329548","340901","352632","364288","375630","388856","401985","415084","428228","441513","455714","470014","484829","500665","517863","535262","553758","573262","593595","614689","637569","660866","684685","709149","734374","761264","788635","816512","",
"Brazil","BRA","Population ages 65 and above, total","SP.POP.65UP.TO","2274016","2375110","2479626","2584474","2685354","2780334","2879334","2974485","3068523","3165050","3266681","3388608","3511604","3636475","3763905","3894175","4042747","4190662","4337413","4481392","4622119","4774427","4922578","5068953","5217391","5371564","5556044","5743088","5935230","6136539","6350158","6621851","6899681","7178458","7450408","7712265","8001762","8279757","8558083","8853204","9175089","9545668","9945711","10362428","10776051","11177826","11600894","12011084","12425104","12866239","13349254","13887044","14453961","15055724","15697744","16384412","17115012","17885124","18690609","",
"Barbados","BRB","Population ages 65 and above, total","SP.POP.65UP.TO","15771","16013","16211","16404","16643","16973","17434","17991","18606","19208","19787","20419","21188","22164","23319","24511","25075","25540","25976","26385","26763","27028","27113","27072","26970","26825","26836","26827","26813","26812","26836","27280","27772","28285","28791","29289","29918","30562","31253","31991","32786","33139","33462","33773","34079","34403","34847","35314","35866","36539","37385","38104","38920","39836","40837","41902","42989","44111","45297","",
"Brunei Darussalam","BRN","Population ages 65 and above, total","SP.POP.65UP.TO","3169","3297","3408","3519","3638","3777","3895","4033","4195","4377","4569","4772","4966","5170","5393","5638","5709","5743","5727","5644","5468","5642","5802","5946","6088","6255","6394","6524","6639","6720","6756","6929","7105","7297","7522","7790","7814","7835","7869","7888","7890","8471","9039","9596","10164","10782","11399","11966","12451","12847","13174","13717","14333","15037","15883","16903","18054","19389","20904","",
"Bhutan","BTN","Population ages 65 and above, total","SP.POP.65UP.TO","5268","5423","5576","5720","5850","5968","6191","6405","6608","6805","6993","7270","7543","7812","8074","8341","8694","9047","9395","9739","10070","10502","10916","11325","11745","12187","12785","13403","14008","14555","15017","15777","16454","17106","17808","18636","19352","20199","21147","22142","23145","24231","25315","26399","27492","28584","29950","31287","32605","33916","35240","36561","37913","39267","40570","41803","43043","44174","45286","",
"Botswana","BWA","Population ages 65 and above, total","SP.POP.65UP.TO","21563","21777","21868","21918","22037","22267","22676","23133","23602","24027","24382","24783","25178","25555","25890","26161","26742","27435","28275","29269","30394","30895","31243","31571","32075","32844","34095","35815","37885","40081","42272","43787","45021","46062","46998","47826","48878","49932","51069","52275","53481","54251","54730","55120","55687","56586","58285","60301","62416","64335","65909","68991","71812","74601","77713","81363","85471","90120","95211","",
"Central African Republic","CAF","Population ages 65 and above, total","SP.POP.65UP.TO","75055","76193","77340","78436","79390","80164","81541","82741","83743","84505","85011","86417","87533","88433","89218","89955","91361","92753","94119","95438","96673","98522","100234","101751","103007","103976","105886","107365","108565","109720","110974","113126","115345","117511","119439","121008","123567","125529","126966","127950","128542","130466","131857","132701","132990","132716","134168","135093","135294","134516","132676","132934","132144","130654","128920","127202","128556","130141","131861","",
"Canada","CAN","Population ages 65 and above, total","SP.POP.65UP.TO","1378771","1407526","1434579","1462751","1493291","1525628","1558956","1595673","1633709","1670704","1710681","1782373","1821364","1862488","1911645","1968710","2034883","2103679","2171955","2239330","2311306","2381672","2448291","2510573","2577069","2650597","2724136","2812700","2905527","3014902","3115950","3200905","3279950","3354011","3428374","3503041","3575806","3649262","3718199","3785493","3855655","3931204","4003899","4070291","4144518","4229591","4321765","4419182","4532226","4663632","4812933","4962451","5139058","5333257","5536520","5731614","5941820","6154292","6385985","",
"Central Europe and the Baltics","CEB","Population ages 65 and above, total","SP.POP.65UP.TO","6594545","6826325","7076325","7347635","7632317","7911012","8210457","8507867","8794712","9080933","9364397","9655246","9969164","10284626","10599113","10910041","11241147","11557458","11813739","11957926","11974790","11885825","11672068","11411162","11210711","11133983","11280130","11513942","11798382","12054996","12268353","12535972","12776964","13035606","13285224","13500484","13784038","14039242","14267595","14472899","14603269","14780541","14948265","15140407","15292123","15390489","15509531","15553249","15576983","15658222","15778141","16031512","16347762","16715810","17109764","17510764","17986892","18456766","18923822","",
"Switzerland","CHE","Population ages 65 and above, total","SP.POP.65UP.TO","543976","557674","574840","590172","603042","613363","628914","646126","663960","681371","696428","715021","735122","754961","773328","787239","803670","821351","840642","858949","875441","885798","892398","895528","899047","906189","916998","931339","947784","963805","979597","996963","1010307","1019744","1027335","1033856","1046750","1057907","1069785","1083164","1096897","1111085","1125884","1140711","1156416","1173842","1193982","1219435","1251934","1286843","1321734","1353000","1385872","1421469","1457616","1490610","1526368","1557747","1586054","",
"Channel Islands","CHI","Population ages 65 and above, total","SP.POP.65UP.TO","14407","14591","14817","15073","15336","15608","15847","16101","16351","16606","16871","17192","17481","17740","17974","18177","18530","18808","19007","19137","19238","19395","19521","19633","19739","19858","20044","20220","20380","20483","20533","20678","20754","20783","20782","20774","20928","21078","21229","21387","21558","21878","22137","22316","22474","22719","23172","23617","23986","24272","24569","25147","25736","26289","26778","27241","27908","28670","29492","",
"Chile","CHL","Population ages 65 and above, total","SP.POP.65UP.TO","305156","316782","327908","338582","348910","358921","369807","380332","390667","400985","411440","424643","437791","450947","464179","477534","494287","511120","527882","544278","560233","578320","596259","614477","633471","653668","676968","700650","725904","754441","787155","822888","862388","904032","945360","985032","1024713","1063054","1100401","1137190","1173818","1211839","1248696","1285645","1324075","1364849","1406533","1450321","1496590","1545495","1597403","1648753","1702655","1761247","1827677","1904104","1980850","2067192","2159435","",
"China","CHN","Population ages 65 and above, total","SP.POP.65UP.TO","24604942","24506581","24462536","24558486","24528808","24486185","25674798","26904327","28182576","29454226","30670664","32098200","33453776","34782914","36108504","37429714","39059632","40679629","42360214","44104813","45866191","47957992","50089615","52150310","54037922","55809578","57513608","59097827","60605526","62163844","63912757","65520712","67420802","69533392","71694024","73788987","76621226","79101030","81359560","83624513","86009518","88263699","90680607","93162743","95478238","97550467","99711068","101646383","103531377","105598689","108012365","111013766","114178413","117806757","122325870","127959922","135145445","143424233","152098421","",
"Cote d'Ivoire","CIV","Population ages 65 and above, total","SP.POP.65UP.TO","95822","99788","103917","108181","112596","117167","121428","125722","130179","134934","140108","145559","151445","157732","164373","171337","178414","185630","193098","200981","209427","218259","227564","237295","247370","257802","269217","280588","292202","304420","317511","331305","345414","359912","374804","390116","406268","421904","436968","451377","465112","480647","494475","506806","517972","528239","542436","555886","568194","578628","586914","601435","613814","625192","637105","650354","671883","694160","716715","",
"Cameroon","CMR","Population ages 65 and above, total","SP.POP.65UP.TO","199245","204887","210165","215156","219939","224579","230419","236068","241512","246699","251647","258194","264421","270376","276106","281673","289057","296129","302947","309541","315944","324404","332413","340093","347589","355008","364553","373888","382973","391758","400273","410536","420135","429163","437716","445906","456188","465535","474152","482168","489663","500669","510582","519439","527255","534075","544613","554208","562956","570978","578426","590941","602703","613929","624914","635892","653576","670996","688120","",
"Congo, Dem. Rep.","COD","Population ages 65 and above, total","SP.POP.65UP.TO","447465","457851","467779","477387","486770","496029","510981","525790","540382","554689","568730","587108","604754","621985","639171","656563","678654","700694","722418","743440","763651","787927","810690","832421","853685","874928","901821","928948","957156","987345","1019936","1060115","1103152","1147255","1190331","1231494","1269678","1302561","1332313","1361362","1391266","1435161","1480278","1526640","1574151","1622753","1681968","1742269","1803782","1866653","1931142","2003937","2077958","2152599","2226948","2300848","2379777","2458051","2537041","",
"Congo, Rep.","COG","Population ages 65 and above, total","SP.POP.65UP.TO","35304","36393","37460","38485","39436","40302","41467","42533","43521","44432","45276","46479","47590","48611","49549","50403","51679","52833","53892","54875","55808","57198","58524","59781","60948","62021","63630","65061","66362","67566","68708","70424","72010","73472","74833","76101","78121","79994","81738","83358","84862","87085","89151","91119","93050","94968","97690","100399","103040","105524","107818","111365","114701","117946","121252","124749","129788","135084","140639","",
"Colombia","COL","Population ages 65 and above, total","SP.POP.65UP.TO","468797","484165","499044","513711","528596","544013","563739","584181","605041","625916","646799","672084","696925","722147","748701","776999","811625","846751","882051","917136","951965","987450","1023550","1060510","1098466","1137795","1182578","1228140","1275183","1324649","1377162","1434293","1492970","1553733","1617206","1683847","1753959","1827769","1904525","1982789","2062095","2145063","2228118","2312220","2398784","2488953","2576847","2668569","2765357","2868224","2978556","3094782","3215076","3344493","3490121","3656570","3823021","4009442","4209239","",
"Comoros","COM","Population ages 65 and above, total","SP.POP.65UP.TO","6113","6195","6252","6284","6300","6299","6443","6572","6702","6822","6937","7164","7387","7604","7826","8063","8412","8789","9175","9551","9901","10282","10609","10899","11171","11420","11753","12079","12384","12676","12950","13328","13683","14030","14356","14665","15073","15445","15802","16136","16465","16890","17290","17665","18013","18340","18808","19252","19671","20038","20346","20774","21155","21528","21961","22493","23265","24115","25028","",
"Cabo Verde","CPV","Population ages 65 and above, total","SP.POP.65UP.TO","10209","10167","10158","10163","10177","10172","10294","10407","10512","10628","10784","11382","11962","12481","12913","13248","13547","13767","13922","14027","14066","14164","14269","14353","14367","14298","14236","14100","13983","14033","14322","14671","15226","15913","16634","17325","18116","18902","19701","20549","21469","22521","23575","24595","25504","26266","26487","26574","26565","26452","26235","25651","24956","24282","23813","23670","23865","24362","25064","",
"Costa Rica","CRI","Population ages 65 and above, total","SP.POP.65UP.TO","39873","41395","43055","44828","46667","48580","50729","52974","55307","57732","60260","63110","65978","68930","72031","75306","78988","82724","86523","90368","94266","98203","102276","106500","110875","115447","120448","125562","130908","136666","142976","149232","156016","163270","170862","178741","186716","194863","203256","211989","221134","230620","240470","250701","261297","272300","283433","294756","306649","319687","334219","349357","365962","383730","402138","420942","439249","457896","477439","",
"Caribbean small states","CSS","Population ages 65 and above, total","SP.POP.65UP.TO","168897","175068","181750","188665","195638","202721","208090","213636","219449","225382","231340","238180","244827","251566","258442","265170","274998","284720","294563","304316","313546","320299","326163","331665","336909","341473","345569","350031","355426","361871","369137","375429","381306","386790","392002","396998","404771","412494","420386","428566","437099","443841","450753","457815","464894","472039","481005","489915","499251","509688","521850","533143","545579","558928","572851","587200","603044","619315","636430","",
"Cuba","CUB","Population ages 65 and above, total","SP.POP.65UP.TO","332189","344355","355147","365973","379139","395845","413229","435303","460409","485669","509649","537567","562696","586154","610291","636276","661641","689095","717525","744393","768420","794382","815534","833876","852693","873701","887367","903135","920078","936725","952542","966483","981049","995361","1008410","1019972","1037355","1051209","1063770","1078156","1096029","1116412","1140214","1166861","1194967","1223951","1259951","1296031","1332354","1369431","1407781","1442741","1477124","1512224","1549772","1590739","1630947","1675725","1721834","",
"Curacao","CUW","Population ages 65 and above, total","SP.POP.65UP.TO","6080","6065","6087","6097","6073","6006","6227","6443","6716","7038","7411","7735","7956","8090","8293","8405","8567","8700","8745","8829","8953","9151","9387","9580","9760","9938","10246","10474","10629","10759","10928","11148","11416","11773","12140","12535","13090","13615","13849","13838","13748","13681","14116","14858","15612","16567","17178","17768","18302","18772","19396","20225","20996","21926","23011","24201","25162","25972","26671","",
"Cayman Islands","CYM","Population ages 65 and above, total","SP.POP.65UP.TO","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
